DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SUN,10,00006858,E BROAD ST & N BRICE RD,1,3,4,39.981287,-82.826444,1975
SUN,1,00005608,BETHEL RD & OLGATE LN,3,0,4,40.064103,-83.070431,1976
SUN,8,00001188,N HIGH ST & CHITTENDEN A,0,4,4,39.995953,-83.007257,1977
SUN,2,00001209,N HIGH ST & GLENCOE RD,0,3,4,40.037481,-83.017354,1978
SUN,4,00002128,FAIRWOOD AVE & FABER AVE,0,4,4,39.908917,-82.957111,1979
SUN,7,00003179,N CASSADY AVE & KENILWOR,2,2,4,39.992083,-82.9304,1980
SUN,11,00002065,E TOWN ST & S GRANT AVE,2,1,4,39.959929,-82.989914,1981
SUN,9,00007597,HAGUE AVE & VANDERBERG A,3,1,4,39.936783,-83.074615,1982
SUN,23,00005371,COURTRIGHT RD & GROVES R,2,1,4,39.931026,-82.898177,1984
SUN,6,00004960,SULLIVANT AVE & ATLANTA,3,1,4,39.941959,-83.107577,1984
SUN,3,00002965,HARRISBURG PIKE & ALKIRE,1,3,4,39.915182,-83.065904,1985
SUN,8,00001752,KARL RD & PAULINE AVE,1,3,4,40.037816,-82.977704,1986
SUN,3,00002462,W RICH ST & MCDOWELL ST,1,2,4,39.95606,-83.013034,1987
SUN,23,00007901,STELZER RD & WORTH AVE,1,3,4,40.055082,-82.90972,1988
SUN,11,00003959,MORSE RD & SANDY LANE RD,2,2,4,40.061309,-82.992877,1989
SUN,22,00007064,ALUM CREEK DR & GROVEPOR,2,2,4,39.867285,-82.935343,1990
SUN,32,00004451,EISENHOWER RD & E NORTH,1,3,4,40.031182,-82.993735,1991
SUN,34,00001474,MORSE RD & COLERAIN AVE,0,3,4,40.061737,-83.003216,1992
SUN,5,00005860,TRABUE RD & N HAGUE AVE,2,1,4,39.993121,-83.091007,1993
SUN,8,00004640,PARSONS AVE & OBETZ RD,3,1,4,39.882223,-82.98783,1994
SUN,9,00001683,E SPRING ST & HAMILTON A,1,3,4,39.968815,-82.982117,1996
SUN,9,00007248,W MOUND ST & S RICHARDSO,2,2,4,39.939188,-83.066873,1996
SUN,141,00005910,N HIGH ST & E GAY ST,3,1,4,39.964451,-83.000974,1997
SUN,33,00006860,DIERKER RD & BURGOYNE CT,1,3,4,40.061171,-83.075143,1998
SUN,2,00002334,E MAIN ST & S ROOSEVELT,2,2,4,39.956969,-82.927226,1999
SUN,7,00007898,3158 AGLER RD,0,4,4,40.020872,-82.924496,2000
SUN,6,00002741,SULLIVANT AVE & WEST PAR,1,3,4,39.951248,-83.032125,2001
SUN,7,00003156,AGLER RD & PENDLETON PL,2,2,4,40.020948,-82.926691,2002
SUN,23,00006730,STELZER RD & LIFESTYLE B,2,2,4,40.02347,-82.911182,2003
SUN,31,00003525,GRANDVIEW AVE & W 5TH AV,0,3,4,39.988318,-83.044519,2004
SUN,9,00006871,EASTON WAY & EASTON SQUA,3,0,4,40.048203,-82.915201,2005
SUN,31,00007117,GRANDVIEW AVE & W 5TH AV,2,1,4,39.989175,-83.04439,2006
SUN,23,00004769,S JAMES RD & ELBERN AVE,2,2,4,39.968161,-82.913724,2007
SUN,22,00005999,MEDICAL CENTER DR & W 9T,3,0,4,39.99302,-83.017218,2008
SUN,31,00007936,E HUDSON ST & ADAMS AVE,2,1,4,40.01517,-83.006643,2009
SUN,32,00007500,MCCUTCHEON RD & MCCUTCHE,2,2,4,40.034112,-82.92809,2010
SUN,11,00004778,MORSE RD & N HIGH ST,3,1,4,40.062482,-83.018687,2011
SUN,24,00006704,MORSE RD & CHERRY BOTTOM,2,2,4,40.05627,-82.885972,2012
SUN,1,00003423,W NORTH BROADWAY & SHATT,2,2,4,40.029242,-83.042149,2013
SUN,24,00005727,N HAMILTON RD & E 5TH AV,1,3,4,39.989789,-82.868896,2014
SUN,31,00001190,N HIGH ST & E 15TH AVE,3,1,4,40.000215,-83.008069,2015
SUN,32,00005497,3693 FISHINGER BLVD,2,1,4,40.028941,-83.116893,2016
SUN,21,00006842,MAIN ST & SCIOTO DARBY R,3,1,4,40.027691,-83.16103,2017
SUN,4,00004869,2452 LOCKBOURNE RD,3,1,4,39.914192,-82.966035,2018
SUN,3,00002880,NORTHWEST BLVD & KING AV,2,1,4,39.991277,-83.040596,2019
SUN,24,00004393,N HAMILTON RD & POTH RD,1,2,4,39.980532,-82.872695,2021
SUN,5,00003234,REFUGEE RD & WEYBURN RD,2,2,4,39.916913,-82.904258,2021
SUN,6,00006057,CLEVELAND AVE & GLENGROV,3,1,4,40.064071,-82.952739,2022
SUN,33,00007269,SAWMILL RD & KAYS RD,1,2,4,40.080101,-83.092254,2023
SUN,3,00002684,S SOUDER AVE & W RICH ST,3,1,4,39.955037,-83.022084,2024
SUN,7,00005678,N CASSADY AVE & E HUDSON,2,2,4,40.011969,-82.929307,2025
SUN,11,00002083,BRYDEN RD & KELTON AVE,3,1,4,39.960302,-82.958342,2026
SUN,9,00004572,W TOWN ST & S DAVIS AVE,2,2,4,39.956189,-83.021124,2027
SUN,10,00002487,E BROAD ST & S CASSADY A,1,3,4,39.969928,-82.932294,2028
SUN,3,00001309,COLUMBUS ST & RICHARD AV,2,1,4,39.881529,-83.08088,2029
SUN,34,00007334,EASTON WAY & CHAGRIN DR,0,4,4,40.048035,-82.912453,2030
SUN,22,00006884,SPIEGEL DR & ALUM CREEK,2,2,4,39.837173,-82.931615,2031
SUN,9,00004737,AGLER RD & BRIDGEWALK ST,2,1,4,40.026737,-82.944771,2032
SUN,1,00005751,BETHEL RD & PORTLAND ST,2,2,4,40.063976,-83.062495,2033
