DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SAT,3,00006041,N 4TH ST & E GAY ST,3,7,10,39.963826,-82.9965,1441
SAT,4,00001449,INDIANOLA AVE & TORRENCE,2,8,10,40.036663,-83.000611,1442
SAT,8,00007275,KARL RD & COLUMBUS LIBRA,9,1,10,40.081028,-82.975803,1443
SAT,6,00002722,SULLIVANT AVE & S BRINKE,7,3,10,39.943166,-83.083555,1444
SAT,3,00002455,S SOUDER AVE & W MOUND S,9,1,10,39.949989,-83.021162,1445
SAT,34,00001264,N HIGH ST & FENWAY RD,9,1,10,40.06729,-83.01931,1446
SAT,8,00007258,KARL RD & NORTHLAND PARK,7,3,10,40.057492,-82.976611,1447
SAT,8,00006613,MCGUFFEY RD & DUXBERRY A,8,2,10,40.00951,-82.98168,1448
SAT,8,00004641,PARSONS AVE & HARLAND DR,7,3,10,39.884747,-82.987502,1449
SAT,141,00004157,W LONG ST & N HIGH ST,0,10,10,39.965044,-83.000948,1450
SAT,8,00004671,KARL RD & ELMORE AVE,4,6,10,40.042277,-82.977316,1451
SAT,10,00002646,W BROAD ST & N WESTMOOR,2,8,10,39.954652,-83.081699,1452
SAT,4,00002141,KOEBEL RD & FAIRWOOD AVE,9,1,10,39.912133,-82.95706,1453
SAT,22,00006947,ALUM CREEK DR & GROVEPOR,2,8,10,39.867664,-82.935476,1454
SAT,2,00002288,E MAIN ST & MONTROSE AVE,5,4,10,39.956957,-82.930679,1455
SAT,102,00007472,POLARIS PKWY & ORION PL,1,9,10,40.142965,-82.965717,1456
SAT,8,00004227,NEIL AVE & W 8TH AVE,8,2,10,39.992364,-83.014104,1457
SAT,8,00001818,HAMILTON AVE & DUXBERRY,8,2,10,40.009002,-82.979445,1458
SAT,6,00003079,CLEVELAND AVE & LAURELWO,8,1,10,40.093094,-82.950532,1459
SAT,9,00004559,S CENTRAL AVE & W RICH S,4,6,10,39.952803,-83.037175,1460
SAT,5,00003067,REFUGEE RD & COURTRIGHT,2,8,10,39.916417,-82.897225,1461
SAT,5,00002769,E WHITTIER ST & LOCKBOUR,8,2,10,39.943267,-82.963407,1462
SAT,8,00001751,KARL RD & HUY RD,1,9,10,40.035555,-82.977901,1463
SAT,7,00005717,N CASSADY AVE & DEMONYE,1,8,10,39.998014,-82.930145,1464
SAT,2,00002356,E MAIN ST & PARSONS AVE,3,6,10,39.958078,-82.981589,1465
SAT,6,00007027,SULLIVANT AVE & GEORGESV,9,1,10,39.941903,-83.110813,1466
SAT,131,00001301,N HIGH ST & CLARK PL,6,4,10,39.988935,-83.005936,1467
SAT,9,00004564,S CENTRAL AVE & W RICH S,6,3,10,39.95332,-83.037113,1468
SAT,2,00002289,E MAIN ST & S ROOSEVELT,4,6,10,39.956872,-82.9275,1469
SAT,1,00003662,3440 OLENTANGY RIVER RD,8,1,10,40.029104,-83.029422,1470
SAT,1,00002016,E LIVINGSTON AVE & MOHAW,4,6,10,39.952732,-82.993122,1471
SAT,5,00007587,FAIRWOOD AVE & WHITTIER,7,3,10,39.942687,-82.954383,1472
SAT,12,00004123,N FRONT ST & W BROAD ST,7,3,10,39.962859,-83.002662,1473
SAT,31,00006542,EASTON WAY & MORSE CROSS,8,1,10,40.048822,-82.920823,1474
SAT,5,00005280,4659 TRABUE RD,10,0,10,39.984642,-83.121971,1475
SAT,2,00004104,E MAIN ST & MAIN 270 CEN,6,3,10,39.954844,-82.835105,1476
SAT,23,00007614,COURTRIGHT RD & ROSWELL,7,3,10,39.937983,-82.897547,1477
SAT,5,00004940,E WHITTIER ST & S 18TH S,1,8,10,39.943917,-82.978214,1478
SAT,8,00007303,PARSONS AVE & WILLIAMS R,2,8,10,39.890888,-82.987042,1479
SAT,5,00002779,E WHITTIER ST & EBNER ST,4,5,10,39.944486,-82.988408,1480
SAT,7,00007273,N GOULD RD & ALLEGHENY A,4,6,10,39.980445,-82.922255,1481
SAT,31,00007140,KENNY RD & STEELWOOD RD,1,9,10,39.995105,-83.034985,1482
SAT,6,00002698,SULLIVANT AVE & LARCOMB,3,6,10,39.948578,-83.046775,1483
SAT,32,00003722,OAKLAND PARK AVE & NORWO,5,4,9,40.031677,-82.972172,1484
SAT,3,00006200,ZOLLINGER RD & NORTHWEST,0,9,9,40.018676,-83.057814,1485
SAT,22,00001611,W 5TH AVE & EDGEHILL RD,9,1,9,39.987871,-83.028875,1486
SAT,9,00001797,E MOUND ST & S HIGH ST,7,3,9,39.954911,-82.998879,1487
SAT,2,00002281,E MAIN ST & RHOADS AVE,3,7,9,39.957389,-82.948932,1488
SAT,23,00004178,KIMBERLY PKWY N & KIMBER,1,8,9,39.926026,-82.883636,1489
SAT,22,00007383,S OHIO AVE & E FULTON ST,5,4,9,39.954843,-82.971106,1490
