1.453,0.707,2.111,1.144,0.231,0.771,0.877,0.357,1.045,0.579,0.000,0.432,0.921,0.480,0.736,0.214,0.133,1.442,0.512,0.280,0.759,0.085,0.848,0.846,0.324,0.399,0.244,0.191,0.391,0.061,0.595,0.868,0.924,0.704,8.982,11.434,2.945,2.855,8.109,14.164,23.070,11.417,15.154,2.518,2.729,7.452,12.079,6.307,5.063,13.133,2.701,8.630,2.729,2.471,8.293,8.822,1.287,6.290,12.339,6.698,2.361,6.739,2.374,6.311,2.844,3.028,2.793,2.406,3.810,6.510,6.534,6.300,4.640,4.964,11.233
1.463,0.706,1.712,0.827,0.222,0.843,0.445,0.385,0.834,0.569,0.432,0.000,0.926,0.549,0.699,0.238,0.365,1.484,0.496,0.152,0.770,0.364,0.843,0.874,0.328,0.052,0.189,0.244,0.405,0.374,0.601,0.438,0.933,0.709,8.564,11.239,2.763,2.674,8.165,13.989,23.200,11.222,14.804,2.949,3.159,7.883,12.077,6.084,5.494,13.306,3.125,8.434,3.160,2.902,8.094,8.627,1.717,6.067,11.937,6.762,1.961,7.170,2.373,5.893,2.844,3.028,2.796,2.377,3.810,6.078,6.102,5.883,4.640,4.964,11.232
0.544,1.571,1.786,0.773,0.829,0.181,1.138,1.199,0.480,0.367,0.921,0.926,0.000,1.361,0.228,0.965,1.011,0.558,1.354,0.908,0.165,0.861,0.083,0.080,1.142,0.881,0.885,0.926,1.232,0.895,0.340,1.148,0.011,1.571,8.597,12.148,3.684,3.596,7.243,14.904,23.988,12.131,15.528,2.807,3.006,7.638,12.974,6.981,5.296,14.041,3.202,9.344,3.002,2.758,9.002,9.536,1.684,6.965,11.842,7.614,2.641,6.965,3.262,5.948,3.734,3.919,3.685,3.279,4.702,6.370,6.401,5.930,5.533,5.858,12.129
1.903,0.228,2.198,1.375,0.538,1.229,0.864,0.171,1.370,0.997,0.480,0.549,1.361,0.000,1.152,0.401,0.360,1.902,0.102,0.477,1.196,0.512,1.282,1.292,0.231,0.565,0.487,0.437,0.145,0.483,1.022,0.847,1.365,0.224,8.981,10.964,2.480,2.389,8.581,13.690,22.670,10.947,14.783,2.722,2.931,7.636,11.616,5.849,5.241,12.763,2.776,8.162,2.934,2.679,7.825,8.353,1.525,5.832,12.393,6.258,2.112,6.906,1.905,6.314,2.376,2.561,2.326,1.931,3.344,6.392,6.413,6.307,4.175,4.499,10.770
0.765,1.356,1.706,0.663,0.615,0.213,0.923,0.986,0.414,0.158,0.736,0.699,0.228,1.152,0.000,0.752,0.810,0.785,1.138,0.689,0.095,0.667,0.145,0.188,0.928,0.654,0.669,0.715,1.019,0.701,0.142,0.933,0.235,1.356,8.563,11.921,3.457,3.368,7.468,14.677,23.803,11.905,15.338,2.831,3.035,7.705,12.758,6.757,5.347,13.869,3.174,9.117,3.032,2.782,8.776,9.310,1.661,6.740,11.842,7.410,2.450,7.021,3.046,5.905,3.518,3.703,3.469,3.060,4.486,6.272,6.301,5.889,5.317,5.642,11.913
1.508,0.607,1.948,1.029,0.137,0.842,0.675,0.235,0.984,0.599,0.214,0.238,0.965,0.401,0.752,0.000,0.127,1.512,0.390,0.097,0.800,0.175,0.885,0.898,0.178,0.220,0.089,0.041,0.267,0.167,0.624,0.665,0.969,0.606,8.802,11.281,2.793,2.702,8.198,14.019,23.067,11.264,14.950,2.726,2.937,7.661,12.010,6.142,5.270,13.152,2.888,8.477,2.938,2.680,8.138,8.669,1.496,6.125,12.174,6.659,2.147,6.945,2.297,6.131,2.769,2.954,2.720,2.316,3.737,6.307,6.330,6.121,4.569,4.893,11.164
1.550,0.584,2.074,1.144,0.223,0.871,0.799,0.225,1.080,0.653,0.133,0.365,1.011,0.360,0.810,0.127,0.000,1.545,0.382,0.221,0.846,0.153,0.934,0.939,0.191,0.346,0.200,0.132,0.259,0.123,0.674,0.788,1.014,0.582,8.930,11.303,2.814,2.724,8.222,14.034,22.994,11.286,15.027,2.609,2.820,7.543,11.973,6.175,5.151,13.069,2.762,8.499,2.821,2.563,8.162,8.691,1.380,6.157,12.302,6.604,2.249,6.825,2.263,6.259,2.734,2.919,2.684,2.290,3.701,6.429,6.452,6.249,4.532,4.856,11.127
0.113,2.118,2.039,1.170,1.378,0.673,1.667,1.745,0.880,0.921,1.442,1.484,0.558,1.902,0.785,1.512,1.545,0.000,1.902,1.461,0.717,1.392,0.641,0.615,1.690,1.438,1.436,1.472,1.779,1.424,0.892,1.680,0.551,2.117,8.661,12.695,4.240,4.151,6.688,15.455,24.469,12.679,15.971,2.870,3.053,7.545,13.517,7.524,5.256,14.496,3.375,9.892,3.046,2.822,9.550,10.085,1.899,7.508,11.815,8.136,3.111,6.902,3.806,6.046,4.278,4.463,4.228,3.828,5.245,6.600,6.634,6.023,6.076,6.401,12.671
1.897,0.218,2.110,1.314,0.525,1.231,0.775,0.160,1.328,0.987,0.512,0.496,1.354,0.102,1.138,0.390,0.382,1.902,0.000,0.451,1.189,0.529,1.273,1.288,0.212,0.520,0.469,0.430,0.125,0.503,1.013,0.757,1.359,0.219,8.883,10.922,2.433,2.343,8.588,13.652,22.707,10.905,14.702,2.820,3.029,7.735,11.621,5.798,5.341,12.810,2.878,8.118,3.031,2.776,7.781,8.310,1.618,5.780,12.298,6.279,2.013,7.006,1.908,6.215,2.380,2.566,2.332,1.926,3.349,6.291,6.311,6.209,4.180,4.504,10.775
1.451,0.669,1.854,0.933,0.096,0.798,0.597,0.307,0.896,0.541,0.280,0.152,0.908,0.477,0.689,0.097,0.221,1.461,0.451,0.000,0.744,0.216,0.826,0.846,0.246,0.126,0.042,0.093,0.336,0.222,0.569,0.589,0.913,0.670,8.713,11.300,2.815,2.725,8.149,14.043,23.147,11.284,14.923,2.797,3.008,7.731,12.069,6.154,5.342,13.238,2.974,8.496,3.008,2.750,8.156,8.688,1.566,6.137,12.081,6.729,2.098,7.018,2.358,6.042,2.830,3.015,2.781,2.372,3.798,6.230,6.254,6.032,4.629,4.953,11.224
